Endpoint,Method,Purpose,Authentication,Input Parameters,Output,Related Tables,Module,Status
/api/auth/login,POST,"Password authentication","public","email, password","JWT token, user data","users, auth.users",Auth,Active
/api/auth/register,POST,"New user registration","public","email, password, tenant_id, name","JWT token, user data","users, auth.users",Auth,Active
/api/auth/webauthn-register,POST,"Start WebAuthn registration","authenticated","displayName","challenge, userId","webauthn_sessions",Auth,Active
/api/auth/webauthn-registration-options,POST,"Get WebAuthn registration options","authenticated","--","challenge, userId, timeout","webauthn_sessions",Auth,Active
/api/auth/webauthn-credentials,GET,"List user WebAuthn credentials","authenticated","--","credential list","webauthn_credentials",Auth,Active
/api/auth/check-webauthn,POST,"Check WebAuthn browser support","public","--","supported: boolean","--",Auth,Active
/api/auth/webauthn-credential/_id,DELETE,"Remove WebAuthn credential","authenticated","credential_id","--","webauthn_credentials",Auth,Active
/api/auth/password-reset-request,POST,"Request password reset","public","email","confirmation sent","password_reset_tokens",Auth,Active
/api/auth/reset-password,POST,"Reset password","public","token, newPassword","success message","users",Auth,Active
/api/auth/current-user,GET,"Get current user data","authenticated","--","user data, role, permissions","users",Auth,Active
/api/appointments/save,POST,"Create or update appointment","staff, admin","appointment data","appointment_id, status","appointments, availability_slots",Appointments,Active
/api/appointments/cancel-staff,POST,"Cancel appointment (staff)","staff, admin","appointment_id, reason, charge_amount","success message","appointments, payments",Appointments,Active
/api/appointments/cancel-customer,POST,"Cancel appointment (customer)","customer","appointment_id, reason","success message","appointments",Appointments,Active
/api/appointments/delete,POST,"Delete appointment","admin","appointment_id","--","appointments",Appointments,Active
/api/appointments/handle-cancellation,POST,"Process cancellation logic","service_role","appointment_id, charge_amount","success message","appointments, payments",Appointments,Active
/api/appointments/update-payment-status,POST,"Update appointment payment status","staff, admin","appointment_id, payment_id, status","success message","appointments, payments",Appointments,Active
/api/payments/process,POST,"Process authenticated payment","customer","amount, method, appointment_id","payment_id, transaction_url","payments, payment_items",Payments,Active
/api/payments/process-public,POST,"Process public/guest payment","anon","amount, method, email","payment_id, transaction_url","payments, payment_items",Payments,Active
/api/payments/status,POST,"Get payment status","public","payment_id, reference_number","payment status","payments",Payments,Active
/api/payments/confirm-cash,POST,"Confirm cash payment","staff, admin","payment_id, amount_received","success message","payments, cash_balances",Payments,Active
/api/payments/receipt,POST,"Generate payment receipt PDF","customer","payment_id","PDF binary data","payments",Payments,Active
/api/payments/settle-and-email,POST,"Settle payment and send receipt email","customer","payment_id","success message","payments, reminder_templates",Payments,Active
/api/payments/convert-to-online,POST,"Convert cash payment to online","staff, admin","payment_id, method","payment_url","payments",Payments,Active
/api/payments/manage,POST,"Manage payment (update/refund)","admin, staff","payment_id, action, amount","success message","payments, payment_audit_logs",Payments,Active
/api/payments/get-details,GET,"Get payment details","customer, staff","payment_id","payment data","payments, payment_items",Payments,Active
/api/payments/reset-failed,POST,"Reset failed payment status","staff, admin","payment_id","success message","payments",Payments,Active
/api/payments/update-wallee-id,POST,"Update Wallee transaction ID","service_role","payment_id, wallee_id","success message","payment_wallee_transactions",Payments,Active
/api/wallee/create-transaction,POST,"Create Wallee transaction","public, authenticated","payment data","Wallee transaction URL","payment_wallee_transactions",Payments,Active
/api/wallee/webhook,POST,"Wallee payment webhook","public","Wallee webhook data","200 response","payment_wallee_transactions, payments",Payments,Active
/api/wallee/save-payment-token,POST,"Save Wallee payment token","authenticated","token data","success message","users",Payments,Active
/api/wallee/test-connection,GET,"Test Wallee API connection","admin","--","connection status","--",Payments,Active
/api/booking/get-availability,GET,"Get available slots for booking","public","staff_id, location_id, date, duration_minutes","available slots","availability_slots, staff_working_hours",Booking,Active
/api/booking/get-availability-data,POST,"Get detailed availability data","public","filters (staff, location, category)","availability grid","availability_slots, staff_locations, categories",Booking,Active
/api/booking/get-locations-and-staff,POST,"Get booking options (locations and staff)","public","category_id","locations, staff list","locations, users, staff_locations",Booking,Active
/api/booking/get-tenant-by-slug,POST,"Get tenant info by slug","public","slug","tenant data, branding","tenants, tenant_settings",Booking,Active
/api/booking/reserve-slot,POST,"Reserve time slot (temporary)","public, authenticated","slot_id, email, duration_minutes","reservation_id, expiry_time","availability_slots, booking_reservations",Booking,Active
/api/booking/release-reservation,POST,"Release reserved slot","public, authenticated","reservation_id","--","booking_reservations",Booking,Active
/api/booking/create-appointment,POST,"Create appointment from booking","authenticated, public","booking data, user info","appointment_id, payment_url","appointments, payments, users",Booking,Active
/api/booking/submit-proposal,POST,"Submit booking proposal","public","proposal data","confirmation","booking_proposals",Booking,Active
/api/staff/get-working-hours,GET,"Get staff working hours","staff, admin","staff_id, date_from, date_to","working hours schedule","staff_working_hours",Staff,Active
/api/staff/working-hours,POST,"Get working hours (alt endpoint)","staff, admin","staff_id, date_range","working hours schedule","staff_working_hours",Staff,Active
/api/staff/working-hours-manage,POST,"Manage working hours","staff, admin","staff_id, hours_data","success message","staff_working_hours",Staff,Active
/api/staff/get-appointments,GET,"Get staff appointments","staff, admin","staff_id, date_from, date_to","appointments list","appointments",Staff,Active
/api/staff/get-appointment-count,GET,"Get appointment count","staff, admin","staff_id, status","count","appointments",Staff,Active
/api/staff/get-appointment-statistics,GET,"Get appointment statistics","staff, admin","staff_id, period","statistics","appointments, payments",Staff,Active
/api/staff/get-appointment-products,GET,"Get appointment product info","staff, admin","appointment_id","products data","appointments, products",Staff,Active
/api/staff/get-appointment-payment,GET,"Get appointment payment info","staff, admin","appointment_id","payment data","payments",Staff,Active
/api/staff/get-appointment-pricing,GET,"Get appointment pricing","staff, admin","appointment_id","pricing info","products, pricing_rules",Staff,Active
/api/staff/create-payment,POST,"Create payment for appointment","staff, admin","appointment_id, amount, method","payment_id","payments",Staff,Active
/api/staff/check-payment-status,GET,"Check payment status","staff, admin","payment_id","status","payments",Staff,Active
/api/staff/check-admin-fee-paid,GET,"Check admin fee payment status","staff, admin","staff_id, period","paid: boolean","payments",Staff,Active
/api/staff/cash-balance,POST,"Manage cash balance","staff, admin","staff_id, action, amount","new balance","cash_balances, cash_transactions",Staff,Active
/api/staff/get-rating-points,POST,"Get evaluation rating points","staff, admin","staff_id, period","rating points","appointments, evaluation_criteria",Staff,Active
/api/staff/exam-stats,POST,"Get exam statistics","staff, admin","staff_id, exam_type","statistics","exam_results",Staff,Active
/api/staff/get-categories,GET,"Get lesson categories","public, staff","--","categories list","categories",Staff,Active
/api/staff/get-locations,GET,"Get staff locations","staff, admin","staff_id","locations list","locations, staff_locations",Staff,Active
