Flow Name,Process Description,Participants,Key Tables,Steps,Trigger,Outcome,Dependencies
User Registration,New user account creation,"Customer, Auth Service","users, auth.users, webauthn_sessions","1. Email/password submission 2. Password validation 3. WebAuthn option 4. Account creation 5. Session init","Registration button click","Active user account with JWT token","auth.users table, email validation"
Authentication Flow,User login process,"Customer, Auth Service","users, auth.users, login_attempts, mfa_methods","1. Email/password input 2. Credential check 3. MFA check 4. Failed attempt tracking 5. JWT generation","Login button click","JWT token for session management","auth.users table, IP tracking"
WebAuthn Registration,Passkey/biometric setup,"User, Browser, Auth Service","users, webauthn_credentials, webauthn_sessions","1. Challenge generation 2. Browser verification 3. Credential storage 4. Device naming","Add new device button","Stored credential for future auth","Browser WebAuthn support"
Appointment Creation,Book new driving lesson,"Customer/Staff, Booking Engine, Calendar","appointments, availability_slots, payments, notifications","1. Availability check 2. Slot selection 3. User/staff assignment 4. Price calc 5. Payment request 6. Confirmation email","Booking submission","Scheduled appointment with payment","availability_slots pre-computed"
Payment Processing,Handle payment transaction,"Customer, Payment Gateway (Wallee/Stripe), System","payments, payment_items, payment_wallee_transactions, payment_reminders","1. Payment form submit 2. Validation 3. Gateway call 4. Transaction creation 5. Webhook receive 6. Status update 7. Receipt email","Payment action","Confirmed payment with receipt","Wallee/Stripe API configured"
Payment Reminder,Multi-stage payment follow-up,"System, Customer, Email/SMS","payments, payment_reminders, reminder_templates, outbound_messages_queue","1. Payment pending check 2. Stage determination 3. Template render 4. Email/SMS queue 5. Send via provider 6. Log sending","Cron job (stages at 1/3/7 days)","Customer receives reminder message","Twilio/Resend configured, templates set"
Availability Recalculation,Pre-compute available slots,"System, Staff, Calendar","availability_slots, availability_recalc_queue, staff_working_hours, appointments","1. Queue entry creation 2. Working hours check 3. Appointment conflicts 4. Slot generation 5. Queue mark processed","Staff hours update, appointments change, cron trigger","Pre-computed slots for booking","staff_working_hours table populated"
External Calendar Sync,Sync busy times from Google/Outlook,"Staff, External Calendar, System","external_calendars, appointments, availability_recalc_queue","1. Calendar token validation 2. ICS/API fetch 3. Event parsing 4. Busy time detection 5. Recalc queue trigger","Daily cron, manual sync","Updated availability reflect busy times","ICS feed URL, API access configured"
Course Enrollment,Student joins course with payment,"Student, Payment, Course System","course_registrations, courses, payments, invoices, sari_sync_logs","1. Course selection 2. Payment processing 3. Enrollment creation 4. SARI sync (VKU) 5. Invoice generation 6. Confirmation","Enrollment form submit","Registered student in course","courses table, course_registrations, Wallee configured"
SARI Course Sync,Sync VKU/PGS courses from SARI,"System, SARI API","courses, sari_sync_logs, sari_course_mapping","1. SARI API connect 2. Course fetch 3. Category mapping 4. Insert/update courses 5. Sync log","Cron job (daily or on-demand)","Courses up-to-date with SARI system","SARI API credentials, environment config"
